Player,Skill Tier,time_played,games_won,win_percentage,weapon_accuracy_best_in_game,eliminations_per_life,kill_streak_best,eliminations_avg_per_10_min,deaths_avg_per_10_min,final_blows_avg_per_10_min,solo_kills_avg_per_10_min,objective_kills_avg_per_10_min,objective_time_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills
caboose#12441,Grandmaster,32774,27,56,51,2.29,12,10.76,4.7,2.75,0.16,2.67,24,4162,8850,75,10040,558,290,160,93,16,12,266
Baxter#21950,Grandmaster,3378,1,25,47,1.84,7,10.13,5.51,3.38,0.18,1.78,41,5269,8523,86,1515,666,37,17,75,18,7,25
Snottyfinga#1909,Grandmaster,4345,4,68,36,1.91,7,8.98,4.7,2.49,0.41,2.76,31,3671,9690,71,2280,637,32,17,86,10,4,33
nou#21556,Grandmaster,39,0,100,44,1,1,15.34,15.34,15.34,0,0,0,4959,3539,100,0,0,0,0,67,0,0,1
ExTorr#11450,Grandmaster,4934,2,29,38,1.13,6,6.57,5.84,1.46,0,1.46,21,3561,10057,75,2422,647,46,9,77,10,2,26
LeBanana#11944,Grandmaster,5325,6,80,48,2.8,7,11.04,3.94,3.04,0.34,2.03,33,4304,8027,93,1857,489,35,22,81,9,4,45
ForFox#1925,Grandmaster,452,0,5,47,1.33,2,5.3,3.98,1.33,0,2.65,54,3380,9379,74,53,51,3,2,57,2,2,2
yoko#21137,Grandmaster,1344,2,67,25,1.5,5,6.69,4.46,1.79,0,1.79,23,3447,8949,70,335,191,21,5,51,12,5,10
Soartex#11530,Grandmaster,3805,3,47,48,1.55,9,9.3,5.99,1.26,0,2.52,43,3677,8381,75,1627,342,29,17,82,7,5,28
Source#11128,Grandmaster,530,0,60,46,1.67,4,5.66,3.39,1.13,0,2.26,196,3991,5392,59,160,90,2,5,65,1,3,2
awkward#21104,Grandmaster,3495,2,42,44,2.5,8,10.3,4.12,3.09,0,1.89,19,6412,7876,79,1036,323,42,16,71,14,5,19
SoloZen#1334,Grandmaster,1260,2,100,23,0.9,3,4.29,4.76,0.48,0,1.91,6,2887,8461,75,326,236,9,6,66,5,3,3
PizzaDemon#1768,Grandmaster,7412,6,63,47,1.66,9,8.34,5.02,2.27,0.08,1.94,31,3558,8675,100,4383,736,35,34,119,5,6,48
Gaisen#11393,Grandmaster,3255,1,35,50,2.26,6,11.24,4.98,3.32,0.18,4.05,32,3980,9540,79,1181,508,28,10,70,12,4,28
MDHcool#1823,Grandmaster,22113,20,63,100,1.82,11,8.6,4.72,1.66,0.08,2.82,49,3431,8909,100,9711,694,188,96,100,13,8,133
FEUR#21592,Grandmaster,17603,15,60,48,1.85,9,10.09,5.45,2.79,0.1,2.11,37,4553,8984,82,8057,885,167,88,78,15,11,131
oPuTo#1727,Grandmaster,30073,26,53,44,1.43,8,8.54,5.97,2.47,0.18,2.33,45,3742,8665,80,11955,616,243,122,82,11,8,183
envii#21533,Grandmaster,3081,1,24,48,1.18,5,9.15,7.79,2.14,0.19,2.14,34,3884,8527,80,1147,252,20,7,78,5,3,20
